y,Ux (sim),Ux (an),,,,
0.321,4.7402,55390.0318832138,,,,
0.322,4.7402,55480.7564753725,,,,
0.323,4.7402,55570.9728065106,,,,
0.324,4.7402,55660.6808766283,,,,
0.325,4.7402,55749.8806857254,,,,
0.326,4.7402,55838.5722338021,,,,
0.327,4.7402,55926.7555208583,,,,
0.328,4.7402,56014.430546894,,,,
0.329,4.7402,56101.5973119091,,,,
0.33,4.7402,56188.2558159038,,,,
0.331,4.7402,56274.406058878,,,,
0.332,4.7402,56360.0480408317,,,,
0.333,4.7402,56445.1817617648,,,,
0.334,4.7402,56529.8072216775,,,,
0.335,4.7402,56613.9244205697,,,,
0.336,4.7402,56697.5333584414,,,,
0.337,4.7402,56780.6340352926,,,,
0.338,4.7402,56863.2264511233,,,,
0.339,4.7402,56945.3106059336,,,,
0.34,4.7402,57026.8864997233,,,,
0.341,4.7402,57107.9541324925,,,,
0.342,4.7402,57188.5135042412,,,,
0.343,4.7402,57268.5646149694,,,,
0.344,4.7402,57348.1074646771,,,,
0.345,4.7402,57427.1420533644,,,,
0.346,4.7402,57505.6683810311,,,,
0.347,4.7402,57583.6864476773,,,,
0.348,4.7402,57661.1962533031,,,,
0.349,4.7402,57738.1977979083,,,,
0.35,4.7402,57814.691081493,,,,
0.351,4.7402,57890.6761040573,,,,
0.352,4.7402,57966.152865601,,,,
0.353,4.7402,58041.1213661243,,,,
0.354,4.7402,58115.5816056271,,,,
0.355,4.7402,58189.5335841093,,,,
0.356,4.7402,58262.9773015711,,,,
0.357,4.7402,58335.9127580124,,,,
0.358,4.7402,58408.3399534331,,,,
0.359,4.7402,58480.2588878334,,,,
0.36,4.7402,58551.6695612132,,,,
0.361,4.7402,58622.5719735725,,,,
0.362,4.7402,58692.9661249113,,,,
0.363,4.7402,58762.8520152295,,,,
0.364,4.7402,58832.2296445273,,,,
0.365,4.7402,58901.0990128046,,,,
0.366,4.7402,58969.4601200614,,,,
0.367,4.7402,59037.3129662977,,,,
0.368,4.7402,59104.6575515135,,,,
0.369,4.7402,59171.4938757088,,,,
0.37,4.7402,59237.8219388837,,,,
0.371,4.7402,59303.641741038,,,,
0.372,4.7402,59368.9532821718,,,,
0.373,4.7402,59433.7565622851,,,,
0.374,4.7402,59498.0515813779,,,,
0.375,4.7402,59561.8383394503,,,,
